name,languages,num_commits,num_files,stars,watchers,forks,num_pull_req_open,num_pull_req_closed,num_pull_req_total,num_issues_open,num_issues_closed,num_issues_total
amapi,Kotlin,2,29,8,8,5,0,0,0,0,0,0
android-AppUsageStatistics,Java,22,110,356,48,118,6,1,7,15,4,19
android-custom-lint-rules,Kotlin,100,4660,902,39,173,1,48,49,20,63,83
android-dynamic-code-loading,Kotlin,2,54,413,33,70,4,0,4,12,2,14
android-media-controller,Kotlin,177,859,398,28,133,6,35,41,9,40,49
android-PermissionRequest,Java,21,111,95,26,51,0,0,0,3,0,3
android-play-games-in-motion,Java,6,317,152,26,49,0,0,0,1,1,2
android-play-publisher-api,Java,19,98,481,56,297,4,10,14,45,30,75
android-play-safetynet,Java,26,193,275,28,143,5,4,9,24,11,35
android-TensorFlowCloudMachineLearningEngineStylizer,Java,2,77,13,11,9,0,0,0,0,0,0
android-testdpc,Java,1240,5917,619,74,303,2,19,21,15,167,182
android-testing-templates,Java,28,204,1966,130,313,4,14,18,9,30,39
android-vision,Java,77,664,2920,237,1767,15,26,41,324,147,471
androidtv-sample-inputs,Java,216,1207,469,71,242,7,1,8,41,23,64
arcore-ml-sample,Java,2,71,56,9,27,0,0,0,8,2,10
easypermissions,Java,184,747,9709,276,1484,4,114,118,31,320,351
gboard-dev-samples,Java,5,58,3,6,1,0,0,0,1,0,1
glass-enterprise-samples,Java,72,973,117,27,91,2,27,29,9,37,46
google-services,Java,646,4505,2956,284,2620,6,99,105,146,396,542
identity-appflip-android,Java,7,41,32,24,7,1,2,3,2,3,5
identity-appflip-tester-android,Java,7,43,15,18,10,1,2,3,2,3,5
identity-toolkit-java,Java,10,114,24,23,24,1,4,5,2,4,6
io2014-codelabs,Java,15,379,177,29,62,3,3,6,6,17,23
io2015-codelabs,Java,93,4020,519,50,175,4,5,9,114,49,163
meet-live-sharing,Java,5,114,5,6,2,0,0,0,0,0,0
mlkit,Java,438,2693,2954,126,2793,1,69,70,88,577,665
sceneform-poly-browser,Java,3,38,6,6,5,0,0,0,0,0,0
sceneform-samples,Java,19,215,88,15,22,0,0,0,4,1,5
subgraph_sdk_sample,Kotlin,2,39,4,2,0,0,0,0,0,0,0
task-interop,Kotlin,11,40,6,8,7,0,5,5,0,6,6
testloopmanager,Java,7,49,8,14,15,1,3,4,1,3,4
